0.00195160,0.00056659
0.00192012,0.00069250
0.00198308,0.00072398
0.00182569,0.00081841
0.00179421,0.00094432
0.00176274,0.00084989
0.00188865,0.00075546
0.00214046,0.00015739
0.00188865,-0.00015739
0.00012591,0.00018886
-0.00185717,-0.00006295
-0.00214046,-0.00050364
-0.00192012,-0.00075546
-0.00195160,-0.00088137
-0.00188865,-0.00078694
-0.00188865,-0.00069250
-0.00207751,-0.00056659
-0.00210899,-0.00053512
-0.00201456,-0.00056659
-0.00210899,-0.00066103
-0.00195160,-0.00075546
-0.00185717,-0.00069250
-0.00198308,-0.00056659
-0.00204603,-0.00003148
-0.00195160,0.00022034
-0.00022034,-0.00015739
0.00179421,0.00012591
0.00204603,0.00069250
0.00173126,0.00075546
0.00179421,0.00081841
0.00179421,0.00088137
0.00195160,0.00028330
0.00188865,-0.00015739
0.00006295,0.00028330
-0.00185717,-0.00009443
-0.00214046,-0.00078694
-0.00176274,-0.00072398
-0.00182569,-0.00088137
-0.00195160,-0.00072398
-0.00214046,-0.00003148
-0.00195160,0.00009443
0.00006295,-0.00031477
0.00188865,-0.00012591
0.00214046,0.00028330
0.00204603,0.00050364
0.00179421,0.00066103
0.00182569,0.00066103
0.00195160,0.00075546
0.00185717,0.00050364
0.00192012,0.00044068
0.00188865,0.00044068
0.00192012,0.00037773
0.00201456,0.00047216
0.00201456,0.00034625
0.00195160,0.00034625
0.00195160,0.00037773
0.00204603,0.00034625
0.00204603,0.00056659
0.00198308,0.00056659
0.00198308,0.00072398
0.00185717,0.00075546
0.00179421,0.00059807
0.00192012,0.00044068
0.00210899,-0.00018886
0.00185717,-0.00034625
0.00022034,0.00012591
-0.00173126,0.00025182
-0.00223490,0.00000000
-0.00201456,-0.00037773
-0.00188865,-0.00062955
-0.00195160,-0.00066103
-0.00195160,-0.00059807
-0.00192012,-0.00047216
-0.00207751,-0.00040921
-0.00204603,-0.00037773
-0.00223490,-0.00028330
-0.00214046,-0.00031477
-0.00195160,-0.00031477
-0.00217194,-0.00015739
-0.00214046,-0.00031477
-0.00214046,-0.00040921
-0.00207751,-0.00037773
-0.00207751,-0.00040921
-0.00192012,-0.00050364
-0.00188865,-0.00053512
-0.00195160,-0.00053512
-0.00198308,-0.00031477
-0.00207751,0.00031477
-0.00185717,0.00047216
-0.00022034,-0.00015739
0.00192012,-0.00003148
0.00207751,0.00047216
0.00185717,0.00066103
0.00185717,0.00075546
0.00173126,0.00072398
0.00192012,0.00018886
0.00182569,-0.00028330
0.00031477,0.00025182
-0.00169978,0.00006295
-0.00214046,-0.00044068
-0.00198308,-0.00047216
-0.00195160,-0.00075546
-0.00179421,-0.00066103
-0.00207751,0.00003148
-0.00192012,0.00034625
0.00000000,-0.00015739
0.00185717,-0.00012591
0.00207751,0.00050364
0.00195160,0.00075546
0.00198308,0.00069250
0.00182569,0.00062955
0.00192012,0.00006295
0.00188865,-0.00037773
0.00015739,0.00025182
-0.00179421,0.00028330
-0.00210899,-0.00034625
-0.00214046,-0.00047216
-0.00207751,-0.00059807
-0.00192012,-0.00062955
-0.00198308,0.00012591
-0.00192012,0.00050364
-0.00022034,-0.00015739
0.00185717,-0.00015739
0.00204603,0.00040921
0.00192012,0.00059807
0.00188865,0.00059807
0.00182569,0.00056659
0.00185717,-0.00003148
0.00179421,-0.00034625
0.00022034,0.00012591
-0.00182569,0.00018886
-0.00201456,-0.00018886
-0.00188865,-0.00056659
-0.00195160,-0.00053512
-0.00185717,-0.00044068
-0.00201456,0.00006295
-0.00204603,0.00050364
-0.00015739,-0.00015739
0.00182569,-0.00022034
0.00207751,0.00037773
0.00201456,0.00053512
0.00182569,0.00062955
0.00179421,0.00059807
0.00198308,0.00000000
0.00173126,-0.00040921
0.00018886,0.00018886
-0.00179421,0.00025182
-0.00217194,-0.00031477
-0.00195160,-0.00053512
-0.00210899,-0.00056659
-0.00198308,-0.00047216
-0.00198308,0.00009443
-0.00192012,0.00037773
-0.00025182,-0.00015739
0.00166830,-0.00015739
0.00214046,0.00034625
0.00192012,0.00050364
0.00201456,0.00050364
0.00185717,0.00053512
0.00182569,-0.00003148
0.00182569,-0.00050364
0.00009443,0.00015739
-0.00179421,0.00012591
-0.00210899,-0.00022034
-0.00195160,-0.00034625
-0.00192012,-0.00047216
-0.00188865,-0.00031477
-0.00214046,0.00025182
-0.00185717,0.00056659
-0.00006295,-0.00028330
0.00173126,-0.00037773
0.00217194,0.00003148
0.00201456,0.00018886
0.00192012,0.00044068
0.00201456,0.00034625
0.00198308,0.00025182
0.00195160,0.00015739
0.00204603,0.00003148
0.00201456,0.00018886
0.00198308,0.00012591
0.00201456,0.00040921
0.00192012,0.00040921
0.00185717,0.00006295
0.00198308,-0.00044068
0.00185717,-0.00078694
0.00022034,0.00009443
-0.00166830,0.00047216
-0.00210899,0.00003148
-0.00192012,-0.00031477
-0.00201456,-0.00037773
-0.00198308,-0.00028330
-0.00192012,0.00015739
-0.00176274,0.00056659
-0.00009443,-0.00012591
0.00173126,-0.00031477
0.00204603,0.00009443
0.00185717,0.00031477
0.00195160,0.00037773
0.00195160,0.00031477
0.00198308,-0.00022034
0.00185717,-0.00062955
0.00015739,0.00018886
-0.00182569,0.00056659
-0.00214046,0.00012591
-0.00201456,-0.00025182
-0.00195160,-0.00037773
-0.00195160,-0.00037773
-0.00201456,0.00018886
-0.00188865,0.00066103
-0.00012591,-0.00015739
0.00188865,-0.00044068
0.00210899,0.00012591
0.00201456,0.00040921
0.00204603,0.00034625
0.00192012,0.00022034
0.00195160,-0.00037773
0.00185717,-0.00044068
0.00012591,0.00028330
-0.00176274,0.00044068
-0.00220342,0.00025182
-0.00204603,-0.00009443
-0.00188865,-0.00012591
-0.00204603,-0.00015739
-0.00210899,-0.00015739
-0.00210899,0.00015739
-0.00214046,0.00012591
-0.00214046,0.00022034
-0.00223490,0.00006295
-0.00207751,-0.00022034
-0.00198308,-0.00006295
-0.00210899,-0.00003148
-0.00198308,0.00066103
-0.00182569,0.00078694
-0.00022034,-0.00006295
0.00182569,-0.00031477
0.00207751,0.00003148
0.00198308,0.00022034
0.00198308,0.00031477
0.00185717,0.00031477
0.00192012,-0.00044068
0.00173126,-0.00069250
0.00003148,0.00018886
-0.00188865,0.00062955
-0.00210899,0.00034625
-0.00195160,0.00009443
-0.00195160,0.00000000
-0.00201456,-0.00003148
-0.00217194,0.00009443
-0.00220342,0.00028330
-0.00217194,0.00018886
-0.00207751,0.00012591
-0.00195160,0.00009443
-0.00214046,-0.00012591
-0.00207751,-0.00006295
-0.00204603,0.00018886
-0.00210899,0.00072398
-0.00157387,0.00091285
-0.00012591,0.00006295
0.00160535,-0.00072398
0.00214046,-0.00050364
0.00195160,-0.00018886
0.00195160,-0.00003148
0.00204603,0.00009443
0.00210899,0.00000000
0.00201456,-0.00009443
0.00198308,-0.00009443
0.00195160,-0.00025182
0.00204603,-0.00031477
0.00204603,-0.00015739
0.00198308,-0.00015739
0.00204603,-0.00018886
0.00201456,-0.00028330
0.00207751,-0.00022034
0.00201456,-0.00012591
0.00195160,-0.00009443
0.00207751,0.00009443
0.00207751,0.00006295
0.00207751,0.00000000
0.00198308,-0.00028330
0.00198308,-0.00091285
0.00176274,-0.00084989
0.00018886,0.00012591
-0.00173126,0.00078694
-0.00223490,0.00059807
-0.00207751,0.00025182
-0.00204603,0.00022034
-0.00207751,0.00015739
-0.00210899,0.00018886
-0.00204603,0.00025182
-0.00204603,0.00031477
-0.00217194,0.00025182
-0.00217194,0.00015739
-0.00201456,0.00006295
-0.00204603,0.00003148
-0.00204603,0.00022034
-0.00195160,0.00081841
-0.00166830,0.00103875
-0.00012591,0.00000000
0.00166830,-0.00078694
0.00214046,-0.00050364
0.00204603,-0.00018886
0.00217194,-0.00003148
0.00214046,0.00003148
0.00198308,-0.00012591
0.00198308,-0.00025182
0.00201456,-0.00022034
0.00192012,-0.00031477
0.00201456,-0.00031477
0.00210899,0.00006295
0.00198308,-0.00009443
0.00201456,-0.00018886
0.00188865,-0.00056659
0.00176274,-0.00107023
0.00037773,0.00009443
-0.00179421,0.00078694
-0.00217194,0.00031477
-0.00204603,0.00000000
-0.00204603,-0.00009443
-0.00201456,0.00015739
-0.00207751,0.00066103
-0.00163683,0.00091285
-0.00022034,-0.00015739
0.00160535,-0.00075546
0.00210899,-0.00037773
0.00201456,-0.00031477
0.00198308,-0.00009443
0.00185717,-0.00009443
0.00204603,-0.00012591
0.00207751,-0.00028330
0.00198308,-0.00044068
0.00201456,-0.00028330
0.00201456,-0.00025182
0.00204603,-0.00015739
0.00195160,-0.00018886
0.00195160,-0.00022034
0.00192012,-0.00084989
0.00166830,-0.00110171
0.00025182,0.00003148
-0.00163683,0.00066103
-0.00214046,0.00050364
-0.00195160,0.00031477
-0.00198308,0.00006295
-0.00195160,-0.00003148
-0.00176274,0.00056659
-0.00169978,0.00097580
-0.00018886,-0.00018886
0.00169978,-0.00072398
0.00201456,-0.00028330
0.00195160,-0.00012591
0.00188865,-0.00003148
0.00192012,-0.00012591
0.00198308,-0.00066103
0.00176274,-0.00103875
0.00025182,0.00006295
-0.00166830,0.00081841
-0.00207751,0.00053512
-0.00188865,0.00028330
-0.00201456,0.00009443
-0.00201456,0.00012591
-0.00179421,0.00075546
-0.00163683,0.00100728
-0.00009443,-0.00003148
0.00163683,-0.00053512
0.00192012,-0.00037773
0.00195160,-0.00009443
0.00198308,0.00009443
0.00188865,-0.00018886
0.00179421,-0.00081841
0.00157387,-0.00110171
0.00025182,0.00015739
-0.00151092,0.00107023
-0.00204603,0.00075546
-0.00204603,0.00034625
-0.00192012,0.00037773
-0.00198308,0.00044068
-0.00204603,0.00047216
-0.00195160,0.00056659
-0.00198308,0.00062955
-0.00201456,0.00062955
-0.00201456,0.00047216
-0.00195160,0.00037773
-0.00198308,0.00040921
-0.00192012,0.00047216
-0.00176274,0.00110171
-0.00157387,0.00129057
-0.00028330,0.00000000
0.00151092,-0.00078694
0.00210899,-0.00047216
0.00185717,-0.00025182
0.00188865,-0.00006295
0.00201456,-0.00025182
0.00185717,-0.00081841
0.00160535,-0.00097580
0.00025182,0.00009443
-0.00166830,0.00084989
-0.00207751,0.00050364
-0.00195160,0.00022034
-0.00201456,0.00028330
-0.00204603,0.00037773
-0.00182569,0.00097580
-0.00141648,0.00107023
-0.00009443,-0.00015739
0.00157387,-0.00084989
0.00201456,-0.00078694
0.00201456,-0.00056659
0.00195160,-0.00037773
0.00188865,-0.00028330
0.00188865,-0.00044068
0.00198308,-0.00056659
0.00198308,-0.00056659
0.00182569,-0.00062955
0.00185717,-0.00062955
0.00207751,-0.00031477
0.00204603,-0.00037773
0.00188865,-0.00056659
0.00163683,-0.00100728
0.00147944,-0.00122762
0.00034625,0.00009443
-0.00147944,0.00100728
-0.00201456,0.00069250
-0.00195160,0.00034625
-0.00192012,0.00037773
-0.00195160,0.00044068
-0.00179421,0.00094432
-0.00144796,0.00129057
-0.00018886,-0.00006295
0.00154239,-0.00091285
0.00192012,-0.00075546
0.00198308,-0.00047216
0.00195160,-0.00037773
0.00192012,-0.00053512
0.00192012,-0.00053512
0.00182569,-0.00069250
0.00195160,-0.00075546
0.00195160,-0.00062955
0.00188865,-0.00053512
0.00195160,-0.00037773
0.00195160,-0.00040921
0.00198308,-0.00069250
0.00179421,-0.00119614
0.00138501,-0.00132205
0.00037773,-0.00009443
-0.00135353,0.00094432
-0.00210899,0.00072398
-0.00192012,0.00047216
-0.00198308,0.00047216
-0.00195160,0.00025182
-0.00179421,0.00081841
-0.00154239,0.00116466
-0.00009443,-0.00006295
0.00154239,-0.00091285
0.00207751,-0.00069250
0.00207751,-0.00037773
0.00198308,-0.00028330
0.00192012,-0.00047216
0.00182569,-0.00113319
0.00157387,-0.00135353
0.00015739,0.00006295
-0.00154239,0.00110171
-0.00192012,0.00110171
-0.00201456,0.00078694
-0.00195160,0.00059807
-0.00185717,0.00066103
-0.00198308,0.00059807
-0.00201456,0.00072398
-0.00188865,0.00091285
-0.00188865,0.00100728
-0.00192012,0.00100728
-0.00182569,0.00100728
-0.00192012,0.00094432
-0.00185717,0.00091285
-0.00185717,0.00100728
-0.00198308,0.00091285
-0.00188865,0.00084989
-0.00192012,0.00088137
-0.00185717,0.00100728
-0.00195160,0.00097580
-0.00192012,0.00097580
-0.00166830,0.00097580
-0.00182569,0.00094432
-0.00192012,0.00103875
-0.00188865,0.00097580
-0.00192012,0.00094432
-0.00188865,0.00066103
-0.00198308,0.00056659
-0.00192012,0.00062955
-0.00179421,0.00066103
-0.00169978,0.00141648
-0.00129057,0.00135353
0.00000000,-0.00018886
0.00154239,-0.00103875
0.00195160,-0.00081841
0.00192012,-0.00053512
0.00198308,-0.00053512
0.00182569,-0.00053512
0.00160535,-0.00107023
0.00144796,-0.00138501
0.00031477,0.00012591
-0.00129057,0.00116466
-0.00179421,0.00110171
-0.00176274,0.00097580
-0.00188865,0.00069250
-0.00185717,0.00078694
-0.00185717,0.00081841
-0.00188865,0.00091285
-0.00182569,0.00107023
-0.00185717,0.00113319
-0.00195160,0.00116466
-0.00188865,0.00097580
-0.00176274,0.00097580
-0.00179421,0.00110171
-0.00188865,0.00110171
-0.00182569,0.00103875
-0.00182569,0.00107023
-0.00188865,0.00088137
-0.00182569,0.00078694
-0.00185717,0.00091285
-0.00195160,0.00081841
-0.00185717,0.00100728
-0.00151092,0.00160535
-0.00119614,0.00154239
-0.00015739,-0.00006295
0.00129057,-0.00129057
0.00179421,-0.00116466
0.00179421,-0.00084989
0.00188865,-0.00066103
0.00185717,-0.00072398
0.00179421,-0.00081841
0.00198308,-0.00088137
0.00188865,-0.00100728
0.00176274,-0.00103875
0.00188865,-0.00088137
0.00195160,-0.00078694
0.00185717,-0.00075546
0.00169978,-0.00084989
0.00147944,-0.00132205
0.00125910,-0.00147944
0.00034625,-0.00009443
-0.00129057,0.00129057
-0.00182569,0.00107023
-0.00182569,0.00084989
-0.00195160,0.00084989
-0.00185717,0.00072398
-0.00173126,0.00110171
-0.00144796,0.00163683
-0.00116466,0.00185717
-0.00075546,0.00151092
-0.00022034,0.00047216
0.00034625,-0.00031477
0.00053512,-0.00069250
0.00040921,-0.00078694
0.00012591,-0.00047216
-0.00006295,-0.00009443
-0.00009443,0.00015739
-0.00015739,0.00012591
-0.00012591,0.00006295
0.00006295,-0.00003148
0.00003148,-0.00012591
0.00003148,-0.00022034
0.00022034,-0.00018886
0.00012591,-0.00012591
0.00000000,-0.00006295
-0.00012591,0.00009443
-0.00006295,0.00006295
0.00000000,-0.00006295
0.00000000,-0.00003148
0.00000000,-0.00006295
0.00000000,-0.00006295
0.00006295,-0.00015739
0.00000000,-0.00018886
0.00000000,-0.00003148
-0.00003148,-0.00009443
0.00000000,0.00000000
-0.00009443,0.00003148
-0.00012591,-0.00003148
0.00003148,0.00012591
0.00000000,0.00000000
0.00009443,-0.00009443
0.00009443,-0.00009443
-0.00003148,-0.00003148
0.00000000,0.00000000
0.00009443,-0.00006295
-0.00003148,-0.00009443
0.00006295,-0.00022034
0.00009443,-0.00012591
-0.00003148,-0.00009443
-0.00006295,-0.00022034
0.00003148,-0.00006295
0.00009443,-0.00006295
-0.00006295,-0.00009443
-0.00003148,-0.00015739
0.00000000,-0.00009443
0.00012591,0.00003148
0.00012591,-0.00009443
0.00006295,-0.00018886
0.00009443,-0.00018886
-0.00006295,-0.00003148
0.00009443,-0.00015739
0.00015739,-0.00022034
-0.00009443,-0.00015739
0.00000000,-0.00009443
0.00006295,-0.00018886
-0.00006295,-0.00025182
-0.00003148,-0.00009443
-0.00003148,-0.00009443
-0.00012591,0.00000000
-0.00003148,-0.00012591
0.00006295,-0.00015739
-0.00003148,-0.00009443
0.00006295,-0.00022034
0.00012591,-0.00015739
0.00009443,-0.00012591
-0.00003148,-0.00003148
0.00009443,-0.00009443
0.00006295,-0.00015739
0.00003148,0.00000000
0.00022034,-0.00015739
0.00015739,-0.00015739
-0.00009443,-0.00018886
-0.00006295,-0.00022034
-0.00003148,-0.00012591
0.00015739,-0.00003148
0.00000000,-0.00015739
-0.00018886,-0.00015739
0.00000000,-0.00003148
-0.00003148,-0.00006295
-0.00006295,-0.00015739
0.00000000,-0.00009443
0.00003148,-0.00006295
0.00006295,-0.00015739
0.00003148,-0.00006295
0.00000000,-0.00003148
0.00000000,-0.00006295
0.00009443,0.00000000
0.00003148,-0.00009443
0.00006295,-0.00006295
-0.00003148,-0.00012591
0.00000000,-0.00009443
0.00006295,-0.00006295
-0.00006295,-0.00009443
0.00000000,-0.00003148
0.00003148,-0.00006295
0.00009443,-0.00022034
0.00012591,-0.00009443
0.00009443,-0.00009443
-0.00006295,-0.00018886
-0.00003148,-0.00003148
0.00003148,-0.00012591
-0.00006295,-0.00009443
0.00003148,-0.00006295
0.00006295,-0.00009443
0.00003148,-0.00003148
0.00000000,-0.00022034
-0.00003148,-0.00018886
0.00000000,-0.00009443
0.00003148,-0.00022034
0.00006295,-0.00009443
0.00000000,-0.00012591
-0.00003148,-0.00022034
-0.00003148,-0.00012591
0.00000000,-0.00018886
0.00003148,-0.00022034
0.00003148,-0.00009443
0.00000000,-0.00006295
-0.00006295,-0.00012591
-0.00006295,-0.00012591
-0.00006295,-0.00015739
0.00006295,-0.00015739
0.00006295,-0.00009443
-0.00006295,-0.00015739
0.00003148,-0.00015739
-0.00003148,-0.00022034
-0.00003148,-0.00018886
0.00000000,-0.00009443
0.00009443,-0.00018886
0.00009443,-0.00012591
0.00003148,-0.00009443
0.00003148,-0.00012591
-0.00009443,-0.00012591
0.00003148,-0.00009443
0.00006295,-0.00003148
0.00000000,0.00009443
0.00006295,0.00006295
0.00000000,-0.00012591
-0.00009443,0.00000000
0.00006295,-0.00003148
0.00003148,-0.00015739
-0.00003148,0.00000000
-0.00003148,-0.00018886
0.00003148,-0.00015739
-0.00003148,-0.00003148
-0.00009443,0.00006295
0.00003148,0.00012591
0.00003148,0.00015739
0.00000000,-0.00003148
0.00003148,-0.00018886
0.00009443,-0.00018886
0.00006295,-0.00025182
0.00006295,-0.00003148
-0.00012591,0.00028330
-0.00022034,0.00066103
-0.00022034,0.00078694
-0.00009443,0.00062955
0.00003148,-0.00037773
0.00028330,-0.00166830
0.00084989,-0.00204603
0.00125910,-0.00169978
0.00147944,-0.00138501
0.00166830,-0.00116466
0.00173126,-0.00116466
0.00151092,-0.00138501
0.00110171,-0.00173126
0.00081841,-0.00179421
0.00018886,-0.00009443
-0.00078694,0.00163683
-0.00144796,0.00166830
-0.00147944,0.00154239
-0.00157387,0.00138501
-0.00166830,0.00125910
-0.00157387,0.00129057
-0.00147944,0.00144796
-0.00144796,0.00163683
-0.00135353,0.00166830
-0.00122762,0.00179421
-0.00132205,0.00173126
-0.00132205,0.00173126
-0.00135353,0.00157387
-0.00144796,0.00147944
-0.00151092,0.00151092
-0.00151092,0.00147944
-0.00141648,0.00154239
-0.00144796,0.00163683
-0.00116466,0.00173126
-0.00122762,0.00176274
-0.00132205,0.00173126
-0.00125910,0.00163683
-0.00141648,0.00166830
-0.00144796,0.00154239
-0.00151092,0.00144796
-0.00157387,0.00157387
-0.00141648,0.00160535
-0.00125910,0.00166830
-0.00132205,0.00166830
-0.00138501,0.00176274
-0.00141648,0.00176274
-0.00147944,0.00160535
-0.00147944,0.00154239
-0.00151092,0.00141648
-0.00157387,0.00122762
-0.00147944,0.00141648
-0.00125910,0.00157387
-0.00081841,0.00185717
-0.00059807,0.00188865
-0.00012591,0.00009443
0.00075546,-0.00163683
0.00119614,-0.00179421
0.00141648,-0.00154239
0.00144796,-0.00122762
0.00141648,-0.00116466
0.00166830,-0.00122762
0.00154239,-0.00132205
0.00135353,-0.00154239
0.00125910,-0.00160535
0.00116466,-0.00163683
0.00122762,-0.00160535
0.00129057,-0.00160535
0.00138501,-0.00157387
0.00141648,-0.00154239
0.00138501,-0.00151092
0.00135353,-0.00147944
0.00135353,-0.00154239
0.00125910,-0.00147944
0.00138501,-0.00154239
0.00122762,-0.00173126
0.00113319,-0.00169978
0.00135353,-0.00157387
0.00138501,-0.00151092
0.00119614,-0.00154239
0.00119614,-0.00147944
0.00135353,-0.00160535
0.00135353,-0.00157387
0.00122762,-0.00154239
0.00119614,-0.00176274
0.00125910,-0.00160535
0.00122762,-0.00151092
0.00122762,-0.00154239
0.00135353,-0.00151092
0.00125910,-0.00166830
0.00125910,-0.00154239
0.00122762,-0.00154239
0.00110171,-0.00163683
0.00107023,-0.00169978
0.00119614,-0.00169978
0.00125910,-0.00166830
0.00132205,-0.00154239
0.00141648,-0.00151092
0.00154239,-0.00147944
0.00138501,-0.00144796
0.00122762,-0.00154239
0.00072398,-0.00179421
0.00044068,-0.00192012
0.00028330,-0.00009443
-0.00059807,0.00176274
-0.00125910,0.00169978
-0.00144796,0.00135353
-0.00154239,0.00122762
-0.00141648,0.00129057
-0.00100728,0.00182569
-0.00075546,0.00188865
-0.00022034,0.00006295
0.00091285,-0.00157387
0.00135353,-0.00160535
0.00144796,-0.00135353
0.00160535,-0.00113319
0.00141648,-0.00132205
0.00094432,-0.00179421
0.00050364,-0.00188865
0.00015739,-0.00003148
-0.00072398,0.00169978
-0.00135353,0.00163683
-0.00144796,0.00160535
-0.00147944,0.00157387
-0.00141648,0.00135353
-0.00097580,0.00179421
-0.00053512,0.00195160
-0.00015739,0.00009443
0.00069250,-0.00166830
0.00119614,-0.00166830
0.00132205,-0.00138501
0.00151092,-0.00122762
0.00147944,-0.00135353
0.00088137,-0.00179421
0.00044068,-0.00188865
0.00022034,-0.00018886
-0.00078694,0.00169978
-0.00135353,0.00173126
-0.00144796,0.00147944
-0.00151092,0.00147944
-0.00125910,0.00147944
-0.00091285,0.00198308
-0.00050364,0.00188865
-0.00012591,-0.00012591
0.00059807,-0.00176274
0.00113319,-0.00179421
0.00125910,-0.00154239
0.00129057,-0.00151092
0.00132205,-0.00154239
0.00122762,-0.00154239
0.00107023,-0.00173126
0.00116466,-0.00173126
0.00119614,-0.00154239
0.00116466,-0.00144796
0.00119614,-0.00144796
0.00122762,-0.00157387
0.00119614,-0.00151092
0.00059807,-0.00195160
0.00034625,-0.00188865
0.00018886,-0.00006295
-0.00044068,0.00176274
-0.00097580,0.00198308
-0.00110171,0.00176274
-0.00122762,0.00179421
-0.00122762,0.00169978
-0.00116466,0.00157387
-0.00110171,0.00173126
-0.00094432,0.00195160
-0.00107023,0.00182569
-0.00116466,0.00166830
-0.00122762,0.00157387
-0.00135353,0.00166830
-0.00113319,0.00169978
-0.00059807,0.00201456
-0.00034625,0.00192012
-0.00018886,0.00015739
0.00047216,-0.00169978
0.00103875,-0.00198308
0.00110171,-0.00173126
0.00119614,-0.00160535
0.00125910,-0.00157387
0.00116466,-0.00166830
0.00110171,-0.00169978
0.00103875,-0.00179421
0.00091285,-0.00169978
0.00103875,-0.00163683
0.00116466,-0.00144796
0.00113319,-0.00157387
0.00122762,-0.00157387
0.00069250,-0.00176274
0.00025182,-0.00204603
0.00022034,-0.00025182
-0.00044068,0.00166830
-0.00110171,0.00192012
-0.00129057,0.00169978
-0.00125910,0.00160535
-0.00129057,0.00157387
-0.00078694,0.00176274
-0.00028330,0.00179421
-0.00028330,0.00000000
0.00037773,-0.00188865
0.00100728,-0.00201456
0.00103875,-0.00173126
0.00110171,-0.00154239
0.00113319,-0.00154239
0.00113319,-0.00166830
0.00110171,-0.00179421
0.00091285,-0.00182569
0.00094432,-0.00179421
0.00094432,-0.00182569
0.00091285,-0.00173126
0.00094432,-0.00182569
0.00100728,-0.00179421
0.00110171,-0.00182569
0.00094432,-0.00195160
0.00084989,-0.00179421
0.00100728,-0.00173126
0.00103875,-0.00169978
0.00110171,-0.00157387
0.00110171,-0.00169978
0.00097580,-0.00176274
0.00044068,-0.00207751
0.00009443,-0.00201456
0.00025182,-0.00018886
-0.00028330,0.00173126
-0.00091285,0.00198308
-0.00113319,0.00185717
-0.00129057,0.00169978
-0.00119614,0.00166830
-0.00066103,0.00198308
-0.00028330,0.00188865
-0.00018886,0.00006295
0.00031477,-0.00192012
0.00081841,-0.00195160
0.00091285,-0.00179421
0.00107023,-0.00176274
0.00107023,-0.00160535
0.00103875,-0.00176274
0.00097580,-0.00179421
0.00088137,-0.00182569
0.00084989,-0.00192012
0.00103875,-0.00176274
0.00113319,-0.00169978
0.00100728,-0.00166830
0.00084989,-0.00169978
0.00047216,-0.00201456
0.00009443,-0.00204603
0.00022034,-0.00025182
-0.00022034,0.00166830
-0.00081841,0.00198308
-0.00094432,0.00182569
-0.00110171,0.00169978
-0.00113319,0.00163683
-0.00059807,0.00179421
-0.00025182,0.00192012
-0.00028330,0.00012591
0.00047216,-0.00173126
0.00107023,-0.00182569
0.00110171,-0.00163683
0.00119614,-0.00151092
0.00094432,-0.00157387
0.00047216,-0.00192012
0.00015739,-0.00185717
0.00015739,0.00000000
-0.00031477,0.00185717
-0.00069250,0.00204603
-0.00084989,0.00188865
-0.00097580,0.00185717
-0.00081841,0.00185717
-0.00084989,0.00188865
-0.00081841,0.00192012
-0.00069250,0.00195160
-0.00081841,0.00192012
-0.00094432,0.00188865
-0.00097580,0.00182569
-0.00091285,0.00173126
-0.00084989,0.00179421
-0.00028330,0.00201456
0.00000000,0.00201456
-0.00022034,0.00025182
0.00018886,-0.00176274
0.00088137,-0.00195160
0.00100728,-0.00173126
0.00097580,-0.00169978
0.00103875,-0.00160535
0.00053512,-0.00192012
0.00012591,-0.00188865
0.00031477,0.00003148
-0.00022034,0.00182569
-0.00072398,0.00201456
-0.00084989,0.00192012
-0.00097580,0.00192012
-0.00081841,0.00198308
-0.00078694,0.00201456
-0.00078694,0.00198308
-0.00069250,0.00210899
-0.00075546,0.00210899
-0.00081841,0.00204603
-0.00097580,0.00188865
-0.00094432,0.00188865
-0.00066103,0.00195160
-0.00012591,0.00204603
0.00009443,0.00198308
-0.00018886,0.00018886
0.00009443,-0.00188865
0.00053512,-0.00220342
0.00069250,-0.00201456
0.00094432,-0.00185717
0.00097580,-0.00182569
0.00094432,-0.00179421
0.00091285,-0.00182569
0.00069250,-0.00195160
0.00053512,-0.00195160
0.00062955,-0.00201456
0.00059807,-0.00198308
0.00050364,-0.00185717
0.00062955,-0.00182569
0.00056659,-0.00198308
0.00066103,-0.00192012
0.00081841,-0.00185717
0.00081841,-0.00188865
0.00088137,-0.00188865
0.00091285,-0.00182569
0.00088137,-0.00182569
0.00062955,-0.00188865
0.00000000,-0.00217194
-0.00018886,-0.00195160
0.00009443,-0.00009443
0.00009443,0.00188865
-0.00018886,0.00229785
-0.00062955,0.00204603
-0.00078694,0.00179421
-0.00078694,0.00192012
-0.00078694,0.00185717
-0.00062955,0.00192012
-0.00053512,0.00210899
-0.00047216,0.00201456
-0.00050364,0.00207751
-0.00044068,0.00210899
-0.00037773,0.00217194
-0.00047216,0.00210899
-0.00047216,0.00201456
-0.00056659,0.00204603
-0.00059807,0.00195160
-0.00056659,0.00201456
-0.00072398,0.00204603
-0.00084989,0.00185717
-0.00078694,0.00195160
-0.00059807,0.00207751
0.00006295,0.00214046
0.00022034,0.00204603
-0.00012591,0.00025182
0.00006295,-0.00179421
0.00059807,-0.00204603
0.00084989,-0.00173126
0.00088137,-0.00182569
0.00088137,-0.00179421
0.00037773,-0.00185717
-0.00015739,-0.00195160
0.00012591,-0.00015739
-0.00015739,0.00179421
-0.00072398,0.00210899
-0.00088137,0.00188865
-0.00094432,0.00185717
-0.00075546,0.00182569
-0.00012591,0.00201456
0.00015739,0.00198308
-0.00015739,0.00012591
-0.00003148,-0.00182569
0.00037773,-0.00217194
0.00047216,-0.00201456
0.00059807,-0.00185717
0.00078694,-0.00176274
0.00081841,-0.00185717
0.00066103,-0.00198308
0.00047216,-0.00198308
0.00044068,-0.00201456
0.00040921,-0.00198308
